CATÁLOGO DE ENDPOINTS — AYD2,,,,,
Módulo,Method,Endpoint,Request (Query / Body),Response,Observaciones
,GET,/api/certifier/invoices,"{
  ""query"": { ""status"": ""BORRADOR"" }
 }","{
  ""message"": ""Facturas obtenidas"",
  ""data"": [
  {
  ""invoiceId"": ""965b0a6f..."",
  ""invoiceNumber"": ""FAC-000031"",
  ""clientNit"": ""1234567-8"",
  ""totalAmount"": 23520.0,
  ""status"": ""BORRADOR""
  }
  ]
 }",Consulta INVOICES en estado BORRADOR. Bandeja operativa del certificador.
,POST,/api/certifier/invoices/{INVOICE_ID}/validate-nit,"{
  ""body"": { ""clientNit"": ""1234567890123"" }
 }","{
  ""message"": ""NIT validado correctamente"",
  ""data"": {
  ""invoiceId"": ""965b0a6f..."",
  ""clientNit"": ""1234567890123"",
  ""isValid"": true
  }
 }",Simula validación del NIT previo a certificación FEL. Cumple regla funcional de verificar identidad fiscal antes de emitir UUID.
,PATCH,/api/certifier/invoices/{INVOICE_ID}/certify,"{
  ""body"": {
  ""felUuid"": ""3C7D8A4E-3D23-4ED8-B410-ABC123456789""
  }
 }","{
  ""message"": ""Factura certificada correctamente"",
  ""data"": {
  ""invoiceId"": ""965b0a6f..."",
  ""status"": ""CERTIFICADA"",
  ""felUuid"": ""3C7D8A4E..."",
  ""certifiedAt"": ""2026-04-02T08:40:00Z""
  }
 }","Actualiza INVOICES.STATUS a CERTIFICADA, guarda FEL_UUID y CERTIFIED_AT. Solo ejecutar después de validar NIT. Base para KPI del panel FEL."
,PATCH,/api/certifier/invoices/{INVOICE_ID}/reject,"{
  ""body"": { ""reason"": ""NIT invalido para emision FEL"" }
 }","{
  ""message"": ""Factura rechazada correctamente"",
  ""data"": {
  ""invoiceId"": ""965b0a6f..."",
  ""status"": ""RECHAZADA""
  }
 }",Actualiza INVOICES.STATUS a RECHAZADA. El motivo puede guardarse en bitácora externa.
,,,,,
BI / GERENCIA,,,,,
,GET,/api/bi/kpis,"{
  ""query"": { ""period"": ""MONTHLY"", ""year"": 2026, ""month"": 4 }
 }","{
  ""message"": ""KPIs obtenidos correctamente"",
  ""data"": {
  ""completedServices"": 142,
  ""billingAmount"": 145000.0,
  ""activeIncidents"": 2
  }
 }","Agregaciones por período sobre ORDERS, INVOICES y PAYMENTS. Incidentes activos de ORDER_ROUTE_LOGS con eventos tipo INCIDENTE."
,GET,/api/bi/branches/distribution,"{
  ""query"": { ""period"": ""MONTHLY"", ""year"": 2026, ""month"": 4 }
 }","{
  ""message"": ""Distribucion por sedes obtenida"",
  ""data"": [
  { ""branchId"": 1, ""branchName"": ""SEDE GUATEMALA"", ""totalOrders"": 12 },
  { ""branchId"": 2, ""branchName"": ""SEDE QUETZALTENANGO"", ""totalOrders"": 6 }
  ]
 }",Agregaciones por período con BRANCHES para comparativos por sede.
,GET,/api/bi/profitability,"{
  ""query"": { ""contractId"": ""a73b5271..."" }
 }","{
  ""message"": ""Rentabilidad obtenida"",
  ""data"": {
  ""contractId"": ""a73b5271..."",
  ""revenueAmount"": 225000.0,
  ""operatingCostAmount"": 143500.0,
  ""grossMarginAmount"": 81500.0
  }
 }",Apoyada en V_CONTRACT_PROFITABILITY. Usa ingresos facturados y costos operativos para calcular margen bruto.
,GET,/api/bi/orders/recent,"{
  ""query"": { ""limit"": 10 }
 }","{
  ""message"": ""Ordenes recientes obtenidas"",
  ""data"": [
  {
  ""orderNumber"": ""ORD-000085"",
  ""clientName"": ""Comercializadora Maya, S.A."",
  ""route"": ""CIUDAD DE GUATEMALA -> SAN SALVADOR"",
  ""status"": ""EN_TRANSITO""
  }
  ]
 }","JOIN entre ORDERS, CONTRACTS y CLIENTS. Consulta de monitoreo; no modifica datos."
